date_ymd,hotel_id,impression_count,click_count,booking_count,avg_cpc,avg_clicked_price,avg_length_of_stay,avg_time_to_travel
20190802,7940,1931,16,0,0.93,168.87,1.63,23.25
20190810,7940,931,27,0,1.46,157.94,1.7,22.22
20190801,7940,1254,27,1,1.15,194.48,1.78,18.52
20190807,7940,1614,36,0,1.19,170.31,2.06,23.5
20190806,7940,1748,27,0,1.26,170.61,1.7,21.0
20190803,7940,1861,21,0,1.1,199.19,1.71,32.29
20190809,7940,1214,37,0,1.35,176.51,1.41,19.22
20190804,7940,617,14,0,1.08,189.83,2.07,9.21
20190808,7940,1187,23,0,1.18,184.83,1.91,20.57
20190805,7940,940,17,0,1.14,173.15,2.0,20.82
20190808,67086,2233,38,0,0.84,153.87,2.16,45.39
20190805,67086,1519,28,0,1.31,181.21,3.18,63.39
20190803,67086,2278,34,0,1.04,160.75,2.65,38.29
20190810,67086,1605,12,0,0.93,129.33,5.58,64.17
20190806,67086,4078,36,0,1.1,171.09,3.25,36.03
20190802,67086,1888,39,0,1.11,146.28,2.36,45.41
20190804,67086,3921,37,0,1.04,155.82,3.22,54.32
20190809,67086,1078,20,0,1.02,161.12,3.3,21.2
20190801,67086,1735,48,0,1.11,139.97,2.85,34.96
20190807,67086,3047,48,0,1.06,153.12,3.21,62.75
20190806,8885418,25,1,0,0.1,302.63,2.0,41.0
20190804,8885418,25,1,0,0.09,305.19,2.0,3.0
20190808,9720,157,4,0,0.96,256.63,2.25,36.5
20190806,9720,367,4,0,1.13,207.65,2.0,20.5
20190804,9720,478,5,0,0.99,268.8,2.4,44.0
20190807,9720,245,2,0,1.05,212.88,2.0,20.5
20190802,9720,309,7,1,0.99,214.67,1.86,19.43
20190803,9720,423,5,1,1.05,263.59,3.8,54.8
20190810,9720,50,1,1,0.41,156.91,1.0,0.0
20190805,9720,458,7,0,0.99,333.56,2.0,68.14
20190809,9720,461,11,0,0.98,209.97,1.73,15.27
20190801,9720,604,11,2,0.94,492.09,4.45,66.18
20190808,79285,227,12,0,0.85,176.84,2.0,20.17
20190809,79285,206,12,0,1.46,187.78,2.33,57.75
20190810,79285,102,7,0,1.32,179.11,1.71,25.71
20190804,79285,906,25,0,1.49,178.37,2.12,46.96
20190803,79285,1396,43,0,1.48,182.87,1.51,20.26
20190806,79285,960,18,0,1.44,453.44,1.72,25.0
20190805,79285,1023,20,0,1.37,225.2,2.0,58.65
20190801,79285,1039,17,0,1.35,256.57,3.18,50.24
20190802,79285,4133,36,0,1.42,265.45,1.61,13.19
20190807,79285,926,28,1,0.98,195.12,1.86,20.93
